map_id,map_name,total_score,ct_score,t_score,agent_1,agent_2,agent_3,agent_4,agent_5
84,Haven,13,8,5,NEON,KILLJOY,SOVA,OMEN,BREACH
85,cebox,12,4,8,JETT,CYPHER,OMEN,NEON,SOVA
86,cebox,14,4,8,KILLJOY,NEON,OMEN,SOVA,BREACH
87,Sunset,12,5,7,KAYO,NEON,CYPHER,OMEN,SOVA
88,Sunset,14,5,7,NEON,BREACH,CYPHER,FADE,CLOVE
89,Ascent,9,5,4,KAYO,NEON,CYPHER,SOVA,OMEN
90,Ascent,13,6,7,BREACH,CLOVE,NEON,FADE,CYPHER
91,cebox,13,4,9,KILLJOY,JETT,SOVA,VIPER,ISO
92,cebox,3,3,0,SOVA,VIPER,SAGE,JETT,KILLJOY
93,Lotus,13,4,9,KILLJOY,JETT,SOVA,ISO,VIPER
94,Lotus,8,3,5,SOVA,VIPER,SAGE,JETT,KILLJOY
95,Haven,13,4,9,NEON,OMEN,CYPHER,SOVA,BREACH
96,Haven,3,3,0,BREACH,OMEN,JETT,KILLJOY,SOVA
97,Lotus,13,9,4,NEON,OMEN,SOVA,BREACH,CYPHER
98,Lotus,4,1,3,BREACH,JETT,OMEN,SOVA,KILLJOY
99,Sunset,9,5,4,NEON,FADE,OMEN,BREACH,CYPHER
100,Sunset,13,6,7,OMEN,FADE,CYPHER,DEADLOCK,SAGE
101,cebox,5,3,2,FADE,BREACH,NEON,OMEN,CYPHER
102,cebox,13,4,9,OMEN,YORU,BREACH,GEKKO,CYPHER
103,Abyss,6,3,3,SOVA,KILLJOY,VIPER,ISO,GEKKO
104,Abyss,13,9,4,KAYO,GEKKO,OMEN,KILLJOY,VIPER
105,Ascent,11,6,5,YORU,SOVA,OMEN,VYSE,KILLJOY
106,Ascent,13,7,6,JETT,OMEN,CYPHER,SOVA,KAYO
107,Sunset,13,6,7,YORU,SOVA,VYSE,OMEN,KILLJOY
108,Sunset,8,2,6,SOVA,JETT,OMEN,KAYO,CYPHER
109,Abyss,13,6,7,SOVA,NEON,BREACH,OMEN,CYPHER
110,Abyss,8,5,3,YORU,BREACH,RAZE,OMEN,DEADLOCK
111,Lotus,12,3,9,JETT,CYPHER,SOVA,HARBOR,OMEN
112,Lotus,14,3,9,HARBOR,ASTRA,GEKKO,YORU,OMEN
113,Haven,13,3,10,NEON,SOVA,OMEN,BREACH,KILLJOY
114,Haven,2,2,0,OMEN,RAZE,FADE,VIPER,KILLJOY
115,Sunset,3,1,2,SOVA,OMEN,CYPHER,BREACH,NEON
116,Sunset,13,10,3,OMEN,GEKKO,RAZE,CYPHER,BREACH
117,Lotus,7,4,3,CYPHER,SOVA,OMEN,BREACH,NEON
118,Lotus,13,5,8,GEKKO,RAZE,OMEN,CYPHER,BREACH
119,Sunset,13,10,3,NEON,SOVA,BREACH,OMEN,CYPHER
120,Sunset,6,4,2,RAZE,OMEN,CYPHER,KAYO,GEKKO
121,Haven,13,9,4,NEON,SOVA,BREACH,OMEN,CYPHER
122,Haven,3,0,3,OMEN,RAZE,CYPHER,KAYO,GEKKO
123,Bind,10,3,7,VIPER,BRIMSTONE,RAZE,GEKKO,FADE
124,Bind,13,5,8,BRIMSTONE,CYPHER,FADE,NEON,DEADLOCK
125,cebox,5,5,0,VIPER,BRIMSTONE,GEKKO,RAZE,FADE
126,cebox,13,6,7,BRIMSTONE,NEON,FADE,CYPHER,DEADLOCK
127,Sunset,13,5,8,OMEN,YORU,BREACH,CYPHER,GEKKO
128,Sunset,9,4,5,SOVA,OMEN,CYPHER,BREACH,NEON
129,Ascent,14,9,3,YORU,OMEN,BREACH,GEKKO,CYPHER
130,Ascent,12,9,3,SOVA,OMEN,CYPHER,BREACH,NEON
131,Abyss,13,6,7,JETT,KAYO,OMEN,SOVA,CYPHER
132,Abyss,9,3,6,KAYO,JETT,SOVA,OMEN,CYPHER
133,Lotus,12,7,5,JETT,OMEN,CYPHER,KAYO,SOVA
134,Lotus,14,7,5,OMEN,JETT,KAYO,CYPHER,SOVA
135,Sunset,13,4,9,BREACH,FADE,NEON,CYPHER,OMEN
136,Sunset,4,3,1,OMEN,CYPHER,NEON,FADE,BREACH
137,Haven,16,6,6,JETT,SOVA,CYPHER,KAYO,OMEN
138,Haven,14,6,6,ASTRA,BREACH,YORU,DEADLOCK,KILLJOY
139,Sunset,13,6,6,SOVA,JETT,OMEN,CYPHER,KAYO
140,Sunset,15,6,6,BREACH,DEADLOCK,ASTRA,YORU,KILLJOY
141,Ascent,7,6,1,CYPHER,SOVA,RAZE,KAYO,OMEN
142,Ascent,13,7,6,DEADLOCK,RAZE,BREACH,OMEN,YORU
143,Sunset,10,3,7,RAZE,CYPHER,GEKKO,OMEN,KAYO
144,Sunset,13,5,8,NEON,CYPHER,SOVA,OMEN,BREACH
145,Bind,13,8,5,CYPHER,GEKKO,RAZE,KAYO,OMEN
146,Bind,5,1,4,NEON,SOVA,CYPHER,OMEN,BREACH
147,Ascent,14,8,4,VIPER,FADE,GEKKO,RAZE,BRIMSTONE
148,Ascent,12,8,4,VIPER,RAZE,CYPHER,BRIMSTONE,SKYE
149,Haven,13,5,8,SOVA,BREACH,OMEN,CYPHER,NEON
150,Haven,9,2,7,JETT,BREACH,KILLJOY,OMEN,SOVA
151,Bind,14,3,9,OMEN,NEON,SOVA,BREACH,CYPHER
152,Bind,12,3,9,JETT,BREACH,OMEN,KILLJOY,SOVA
153,Sunset,8,3,5,CYPHER,BREACH,YORU,GEKKO,OMEN
154,Sunset,13,4,9,NEON,SOVA,OMEN,CYPHER,BREACH
155,cebox,7,3,4,CYPHER,YORU,BREACH,GEKKO,OMEN
156,cebox,13,8,5,NEON,CYPHER,SOVA,OMEN,BREACH
157,cebox,5,3,2,JETT,CYPHER,YORU,OMEN,BREACH
158,cebox,13,10,3,JETT,VIPER,GEKKO,KAYO,KILLJOY
159,Abyss,10,5,5,JETT,CYPHER,YORU,OMEN,BREACH
160,Abyss,13,6,7,JETT,GEKKO,KILLJOY,KAYO,VIPER
161,Haven,13,3,10,ISO,CYPHER,NEON,SOVA,OMEN
162,Haven,3,2,1,ISO,YORU,SOVA,OMEN,CYPHER
163,Sunset,13,2,11,ISO,NEON,CYPHER,SOVA,OMEN
164,Sunset,1,1,0,YORU,ISO,OMEN,SOVA,CYPHER
165,Sunset,13,10,3,CYPHER,FADE,DEADLOCK,OMEN,RAZE
166,Sunset,2,0,2,CYPHER,BREACH,OMEN,RAZE,SOVA
167,Bind,10,4,6,CYPHER,DEADLOCK,RAZE,FADE,OMEN
168,Bind,13,6,7,OMEN,CYPHER,RAZE,SOVA,BREACH
169,Haven,10,2,8,RAZE,GEKKO,VIPER,SKYE,ASTRA
